date,BTC,ETH,XRP,USDT,LINK,BCH,LTC,ADA,XLM,DOT,BNB,BSV,USDC,EOS,TRX,WBTC,XMR,XTZ,XEM,CRO,LEO,FIL,NEO,ATOM,DAI,VET,DASH,MIOTA,HT,REV,UNI,ZEC,ETC,AAVE,YFI,WAVES,BUSD,THETA,CEL,MKR,OMG,SNX,ONT,COMP,UMA,DOGE,FTT,KSM,ALGO,BAT
11/5/2020,15579.84846,414.0673382,0.24577641,1.00041963,10.990669,249.5473253,58.67849616,0.09699436,0.08017504,4.23519485,27.67585879,159.7518722,0.99998786,2.44427202,0.02496151,15509.62071,119.8124589,1.88214484,0.1012481,0.07951403,1.24919064,29.34653241,14.42363452,4.51377971,1.00741828,0.00973349,67.82825818,0.2493184,3.59927806,0.0104956,2.20612935,56.61869759,5.09260082,30.95562668,8541.515837,3.43474534,1,0.63050716,1.7607343,529.9544046,2.89766024,3.15170423,0.43638434,91.31793189,6.75971484,0.00261685,3.52223149,30.25814974,0.2477066,0.19130803
11/4/2020,14133.70715,402.1419984,0.23779264,1.0010787,10.47258743,241.130094,54.49910437,0.09536906,0.07459282,4.09808333,26.93151415,152.1601448,1.00034756,2.349333,0.02419648,14066.74766,115.9558376,1.87632732,0.09747646,0.07696293,1.25333418,28.85774675,14.07620434,4.38550943,1.00848397,0.00939714,64.59031466,0.23619344,3.54805118,0.01049845,1.93011859,53.85879362,4.86477596,27.71508436,8546.749371,3.19300304,1,0.59138587,1.61873238,521.5675547,2.7703932,2.73114431,0.41919675,88.59311071,6.62383364,0.00253328,3.39567556,28.66859953,0.23859826,0.18485425
11/3/2020,13950.30085,387.6021733,0.23951003,1.00055231,10.3870017,244.1468419,53.81962176,0.09343444,0.07531125,4.02546848,26.85704897,153.7834912,0.99997228,2.36103488,0.02441623,13913.5251,120.7332976,1.86832534,0.09912676,0.07933936,1.2550887,28.78829355,14.67102508,4.47697378,1.00856233,0.00924434,64.27840604,0.24446382,3.62254644,0.01045602,2.13431874,53.18704751,4.85376671,28.04280321,9380.448947,3.14423139,1,0.58212967,1.40866663,520.8430284,2.87843649,2.57387118,0.42421719,87.63902222,6.58474478,0.00252762,3.46636293,28.8302818,0.23287116,0.18010855
11/2/2020,13550.48938,383.1567326,0.23542055,1.00052331,10.7975786,257.1997028,53.81748107,0.09214304,0.07566041,4.0302315,27.88393056,158.6718705,1.00026769,2.43064366,0.02443304,13432.17518,118.7344225,1.89654988,0.09973025,0.07994446,1.26235495,29.74304807,15.21949961,4.61016451,0.99865578,0.01006589,65.12427288,0.24610987,3.81472039,0.01049289,2.25425989,55.06163767,4.95699819,29.73152358,10063.63562,3.11822456,0.9999,0.58891209,1.40654709,520.3970975,2.99240164,2.63911375,0.43398593,91.93444305,6.84695597,0.00251712,3.50238401,29.98003522,0.2461472,0.18211829
11/1/2020,13737.10983,396.3581869,0.23979745,1.00037867,11.53662956,267.555815,55.5876231,0.09819689,0.07847773,4.22561493,28.46156546,164.6368471,1.00030367,2.51179841,0.02572745,13649.20394,126.5553012,1.98535127,0.09822426,0.08420598,1.26275257,31.59187451,14.89256036,4.7356045,0.99918976,0.01048722,68.59011315,0.25124781,4.15701143,0.01049295,2.37930546,58.07348259,5.21497973,30.65727643,10672.27149,3.21380976,0.9999,0.61179551,1.41372108,543.0650272,3.13004449,2.89735465,0.4542252,93.50509448,6.89263264,0.00258175,3.63670823,32.09204891,0.25729102,0.18854794
10/31/2020,13780.9947,386.5903353,0.2397442,1.00020042,11.22083857,261.7582366,55.59026116,0.09305597,0.07767283,4.18176751,28.43121469,164.869532,1.00027771,2.52105046,0.02576956,13715.39644,126.3350691,1.97597955,0.09641862,0.08415107,1.26568251,31.14684572,14.73897404,4.62013084,1.00611554,0.00988731,70.16812861,0.25286795,4.23522321,0.01047586,2.26642787,58.12268265,5.267003,29.70751775,10480.22103,3.21830647,0.9999,0.61049222,1.41387576,523.3093361,2.91954327,3.00399268,0.44394575,91.25775256,6.74681603,0.00257594,3.70098284,30.43614839,0.24947069,0.18402692
10/30/2020,13546.52227,382.819992,0.23918382,1.0009044,11.09855655,261.8281314,53.83503374,0.09336885,0.0767633,4.08811312,28.50841223,163.5138358,1.00026456,2.50547713,0.02562615,13503.27401,122.9508563,1.90358246,0.09568034,0.08411126,1.2708914,29.26876645,14.8295169,4.62476393,1.0073283,0.01008204,69.65248303,0.25731874,4.09768001,0.01055345,2.41416755,58.3695324,5.25702439,31.21782294,10993.34481,3.20936428,0.9999,0.61095094,1.35711874,520.532841,2.86610819,3.09331101,0.44618809,92.11644082,6.89975718,0.00259836,3.72689901,29.5909595,0.25445348,0.18823642
10/29/2020,13437.88324,386.7301135,0.24229485,1.00034905,11.26514099,267.0560597,54.76585539,0.09537568,0.07745294,4.05334477,29.84247846,166.785478,1.00014562,2.62791437,0.02648968,13413.61232,124.2827039,1.93359586,0.09766552,0.09025684,1.26490323,32.64319064,15.27276786,4.62976658,1.01168029,0.0101856,66.98130169,0.25910243,4.26565314,0.01060555,2.54161629,56.8579113,5.39764975,29.09833402,10788.1397,3.01880549,0.9999,0.59349688,1.30600506,531.4854495,2.88722835,3.26599487,0.45352173,96.6337585,7.23996523,0.00258066,3.85216151,29.9980949,0.25608708,0.18924851
10/28/2020,13271.28537,388.6507707,0.24586472,1.00034047,11.4617424,268.4897043,55.74251071,0.09897673,0.07859164,4.36509669,30.363506,169.8619903,1.00008227,2.65461466,0.02685205,13225.86487,126.3503675,2.00435017,0.09341504,0.08930957,1.27991664,33.61526634,15.89023545,4.80791712,1.00940531,0.01066513,68.22849972,0.26829686,4.22501038,0.01062005,2.67611603,57.08551007,5.27969863,32.39408292,12610.91409,3.05358878,1.0001,0.6239985,1.28385583,545.88848,3.05967207,3.63405044,0.47564661,107.598953,7.17455609,0.00259499,3.75858601,31.60778823,0.27732652,0.19508467
10/27/2020,13654.21844,403.9970451,0.25289944,1.00022281,11.97383673,264.5394353,57.81605141,0.10282683,0.08180863,4.68395195,31.63872183,174.8909247,0.99999504,2.6641074,0.02696136,13617.29389,133.7280862,2.08449887,0.09676365,0.09842109,1.28360071,35.24575898,17.04095072,5.15698607,1.00502221,0.01137787,70.7509021,0.27705514,4.31972408,0.01060148,2.82239855,61.12137301,5.45406589,34.87153083,13392.80377,3.15150466,1.0001,0.65769564,1.32394298,587.2125698,3.20947931,3.56915979,0.50989926,109.244583,7.18551339,0.00267665,4.01526882,34.31135673,0.28753638,0.2137528
