,V1,date,ccy,weight,ret,close,agg_rate,place,agg_volume,mom1,mom2,vol1,vol2,rsibd,kdbd,Comp_Mom,Comp_Vol,Comp,mom1_cor,mom2_cor,vol1_cor,vol2_cor,agg_volume_cor,rsibd_cor,kdbd_cor,Basket,aret
437,437,12/3/2017,DASH,0.03030303,-0.110172709,768.88,0,5,0.444444444,0.777777778,0.666666667,0.333333333,0.444444444,1,1,0.722222222,0.388888889,-0.069468777,0.065889151,0.019752199,0.206073602,-0.102137547,-0.095850917,-0.08119966,-0.075981102,1,-0.110172709
438,438,12/3/2017,ETH,0.03030303,-0.053187497,465.85,0,2,0.888888889,0.333333333,0.222222222,0.222222222,0.222222222,1,0.25,0.277777778,0.222222222,-0.050745607,0.065889151,0.019752199,0.206073602,-0.102137547,-0.095850917,-0.08119966,-0.075981102,1,-0.053187497
439,439,12/3/2017,LTC,0.03030303,0.383970353,101.26,0,6,0.666666667,0.555555556,0.555555556,0.555555556,0.333333333,1,1,0.555555556,0.444444444,-0.029162749,0.065889151,0.019752199,0.206073602,-0.102137547,-0.095850917,-0.08119966,-0.075981102,2,0.383970353
440,440,12/3/2017,MIOTA,0.03030303,0.78700563,1.88,0,8,0.333333333,0.888888889,0.777777778,0.888888889,0.777777778,0.2,1,0.833333333,0.833333333,0.085446142,0.065889151,0.019752199,0.206073602,-0.102137547,-0.095850917,-0.08119966,-0.075981102,3,0.78700563
441,441,12/3/2017,XRP,0.03030303,-0.062176707,0.252558,0,4,0.555555556,0.444444444,0.111111111,0.777777778,0.555555556,0.533333333,0.25,0.277777778,0.666666667,0.072713381,0.065889151,0.019752199,0.206073602,-0.102137547,-0.095850917,-0.08119966,-0.075981102,3,-0.062176707
442,442,12/10/2017,BCH,0.03030303,0.342168884,1323.07,0,3,0.777777778,0.222222222,0.222222222,0.444444444,0.444444444,0.529411765,0.4,0.222222222,0.444444444,0.013498467,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,2,0.342168884
443,443,12/10/2017,BTC,0.03030303,0.213863726,15455.4,0,1,1,0.666666667,0.666666667,0.666666667,0.555555556,1,0.4,0.666666667,0.611111111,-0.123285122,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,1,0.213863726
444,444,12/10/2017,BTG,0.03030303,0.272227039,228.87,0,8,0.222222222,0.111111111,0.111111111,0.333333333,0.333333333,0.529411765,1,0.111111111,0.333333333,0.118579243,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,2,0.272227039
445,445,12/10/2017,DASH,0.03030303,0.473670645,688.67,0,7,0.333333333,0.333333333,0.555555556,0.111111111,0.222222222,0.529411765,0.4,0.444444444,0.166666667,-0.033289246,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,1,0.473670645
446,446,12/10/2017,ETH,0.03030303,0.488533347,441.72,0,2,0.888888889,0.555555556,0.333333333,0.222222222,0.111111111,0.529411765,0.4,0.444444444,0.166666667,-0.068345424,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,1,0.488533347
447,447,12/10/2017,LTC,0.03030303,0.762651155,148.66,0,6,0.555555556,0.888888889,0.777777778,0.777777778,0.777777778,0.117647059,1,0.833333333,0.777777778,0.769977556,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,3,0.762651155
448,448,12/10/2017,MIOTA,0.03030303,-0.049637981,4.13,0,4,0.666666667,1,1,0.888888889,0.888888889,1,1,1,0.888888889,0.269805263,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,2,-0.049637981
449,449,12/10/2017,XMR,0.03030303,0.557272742,0.393966,0,9,0.111111111,0.777777778,0.888888889,1,1,0.529411765,0.4,0.833333333,1,0.418979446,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,3,0.557272742
450,450,12/10/2017,XRP,0.03030303,1.121339451,0.237333,0,5,0.444444444,0.444444444,0.444444444,0.555555556,0.666666667,0.529411765,1,0.444444444,0.611111111,0.329643591,0.069302651,0.186792051,0.177942925,0.258469725,-0.327832688,-0.677588524,0.303376729,3,1.121339451
451,451,12/17/2017,ADA,0.03030303,-0.274076192,0.513011,0,6,0.222222222,1,1,1,1,0.333333333,1,1,1,0.036944653,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,3,-0.274076192
452,452,12/17/2017,BCH,0.03030303,0.443662343,1862.88,0,3,0.555555556,0.444444444,0.111111111,0.666666667,0.333333333,1,0.5,0.277777778,0.5,0.026617834,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,2,0.443662343
453,453,12/17/2017,BTC,0.03030303,-0.318078948,19140.8,0,1,1,0.222222222,0.444444444,0.111111111,0.444444444,1,0.5,0.333333333,0.277777778,-0.07851933,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,1,-0.318078948
454,454,12/17/2017,DASH,0.03030303,0.068803569,1105.92,0,8,0.333333333,0.555555556,0.222222222,0.333333333,0.111111111,0.333333333,0.5,0.388888889,0.222222222,0.043471511,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,3,0.068803569
455,455,12/17/2017,ETH,0.03030303,-0.036521469,719.97,0,2,0.888888889,0.666666667,0.333333333,0.555555556,0.222222222,0.333333333,1,0.5,0.388888889,0.131486839,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,3,-0.036521469
456,456,12/17/2017,LTC,0.03030303,-0.143984575,318.72,0,5,0.777777778,0.777777778,0.888888889,0.777777778,0.666666667,0.333333333,0.5,0.833333333,0.722222222,-0.055221197,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,2,-0.143984575
457,457,12/17/2017,MIOTA,0.03030303,-0.121607132,3.93,0,7,0.444444444,0.111111111,0.666666667,0.444444444,0.777777778,0.666666667,0.125,0.388888889,0.611111111,-0.136811995,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,1,-0.121607132
458,458,12/17/2017,XEM,0.03030303,0.386527907,2.31,0,9,0.111111111,0.333333333,0.555555556,0.222222222,0.555555556,1,0.5,0.444444444,0.388888889,-0.09173044,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,1,0.386527907
459,459,12/17/2017,XRP,0.03030303,0.356172323,0.728366,0,4,0.666666667,0.888888889,0.777777778,0.888888889,0.888888889,1,1,0.833333333,0.888888889,0.008961516,0.007244858,-0.206599813,0.065400049,0.015054919,-0.263875024,-0.096224672,0.187919531,2,0.356172323
460,460,12/24/2017,ADA,0.03030303,0.612606416,0.390029,0,6,0.222222222,0.222222222,0.888888889,0.222222222,1,0.470588235,1,0.555555556,0.611111111,1.327896302,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,3,0.612606416
461,461,12/24/2017,BCH,0.03030303,-0.136377702,2903.12,0,3,0.888888889,1,0.777777778,1,0.777777778,0.470588235,0.470588235,0.888888889,0.888888889,0.897343254,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,2,-0.136377702
462,462,12/24/2017,BTC,0.03030303,0.016423584,13925.8,0,1,1,0.111111111,0.222222222,0.111111111,0.111111111,0.470588235,0.470588235,0.166666667,0.111111111,0.492593689,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,1,0.016423584
463,463,12/24/2017,DASH,0.03030303,-0.119092251,1184.69,0,9,0.333333333,0.666666667,0.444444444,0.666666667,0.444444444,0.470588235,0.470588235,0.555555556,0.555555556,0.651264566,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,2,-0.119092251
464,464,12/24/2017,ETH,0.03030303,0.086318443,694.15,0,2,0.777777778,0.555555556,0.333333333,0.333333333,0.222222222,0.470588235,0.470588235,0.444444444,0.277777778,0.543490589,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,1,0.086318443
465,465,12/24/2017,LTC,0.03030303,-0.173160086,275.98,0,5,0.555555556,0.333333333,0.555555556,0.444444444,0.666666667,0.470588235,0.470588235,0.444444444,0.555555556,0.851525658,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,2,-0.173160086
466,466,12/24/2017,MIOTA,0.03030303,0.01991531,3.48,0,7,0.444444444,0.444444444,0.111111111,0.888888889,0.555555556,0.470588235,0.470588235,0.277777778,0.722222222,0.544147099,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,1,0.01991531
467,467,12/24/2017,XEM,0.03030303,-0.121835353,3.4,0,8,0.111111111,0.888888889,0.666666667,0.555555556,0.333333333,1,1,0.777777778,0.444444444,1.10411938,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,3,-0.121835353
468,468,12/24/2017,XRP,0.03030303,0.79368841,1.04,0,4,0.666666667,0.777777778,1,0.777777778,0.888888889,1,0.470588235,0.888888889,0.833333333,1.356375837,-0.051675984,0.433046299,-0.12513602,0.48200177,-0.193984591,0.509910775,0.260298034,3,0.79368841
469,469,12/31/2017,ADA,0.03030303,0.338878099,0.719695,0,5,0.444444444,0.888888889,0.888888889,0.888888889,0.555555556,0.25,1,0.888888889,0.722222222,1.023228848,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,3,0.338878099
470,470,12/31/2017,BCH,0.03030303,0.095514372,2533.01,0,4,0.666666667,0.222222222,0.777777778,0.666666667,1,1,0.166666667,0.5,0.833333333,1.02644238,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,3,0.095514372
471,471,12/31/2017,BTC,0.03030303,0.151835064,14156.4,0,1,1,0.555555556,0.222222222,0.555555556,0.222222222,1,0.611111111,0.388888889,0.388888889,0.614584916,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,1,0.151835064
472,472,12/31/2017,DASH,0.03030303,0.200704407,1051.68,0,9,0.222222222,0.444444444,0.444444444,0.222222222,0.444444444,1,0.611111111,0.444444444,0.333333333,0.655908679,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,1,0.200704407
473,473,12/31/2017,ETH,0.03030303,0.421263432,756.73,0,3,0.777777778,0.777777778,0.555555556,0.111111111,0.111111111,1,0.611111111,0.666666667,0.111111111,0.661665449,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,2,0.421263432
474,474,12/31/2017,LTC,0.03030303,0.217353447,232.1,0,6,0.555555556,0.111111111,0.111111111,0.444444444,0.333333333,1,0.166666667,0.111111111,0.388888889,0.470466594,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,1,0.217353447
475,475,12/31/2017,MIOTA,0.03030303,0.136695396,3.55,0,7,0.333333333,0.666666667,0.333333333,0.333333333,0.777777778,1,0.611111111,0.5,0.555555556,0.757279055,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,2,0.136695396
476,476,12/31/2017,XEM,0.03030303,0.755919192,3.01,0,8,0.111111111,0.333333333,0.666666667,0.777777778,0.666666667,1,0.611111111,0.5,0.722222222,0.949089009,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,2,0.755919192
477,477,12/31/2017,XRP,0.03030303,0.384966587,2.3,0,2,0.888888889,1,1,1,0.888888889,0.25,0.611111111,1,0.944444444,1.206541519,0.192828862,0.469700237,0.283338637,0.237679086,0.039764589,0.191264702,0.002597414,3,0.384966587
478,478,1/7/2018,ADA,0.03030303,-0.230270372,1.01,0,5,0.333333333,0.555555556,0.777777778,0.777777778,0.666666667,1,0.470588235,0.666666667,0.722222222,-0.497121883,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,2,-0.230270372
479,479,1/7/2018,BCH,0.03030303,-0.087528217,2786.88,0,4,0.666666667,0.111111111,0.111111111,0.333333333,0.444444444,0.5,1,0.111111111,0.388888889,-0.020017601,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,3,-0.087528217
480,480,1/7/2018,BTC,0.03030303,-0.179364337,16477.6,0,1,1,0.222222222,0.333333333,0.222222222,0.222222222,0.5,0.470588235,0.277777778,0.222222222,-0.105558805,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,3,-0.179364337
481,481,1/7/2018,ETH,0.03030303,0.16993562,1153.17,0,3,0.888888889,0.777777778,0.444444444,0.111111111,0.111111111,0.214285714,1,0.611111111,0.111111111,-0.064369145,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,3,0.16993562
